"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES"
"US1VAHR0006","GLEN ALLEN 4.6 W, VA US","37.65537","-77.56873","83.2","2020-05-02","2.3",",,N","0.0",",,N","0.0",",,N"
"US1VAHR0006","GLEN ALLEN 4.6 W, VA US","37.65537","-77.56873","83.2","2020-05-03","0.0",",,N","0.0",",,N","0.0",",,N"
"US1VAHR0006","GLEN ALLEN 4.6 W, VA US","37.65537","-77.56873","83.2","2020-05-04","0.0","T,,N","0.0",",,N","0.0",",,N"
"US1VAHR0006","GLEN ALLEN 4.6 W, VA US","37.65537","-77.56873","83.2","2020-05-05","0.0",",,N","0.0",",,N","0.0",",,N"
"US1VAHR0006","GLEN ALLEN 4.6 W, VA US","37.65537","-77.56873","83.2","2020-05-06","10.7",",,N","0.0",",,N","0.0",",,N"
"US1VAHR0006","GLEN ALLEN 4.6 W, VA US","37.65537","-77.56873","83.2","2020-05-07","0.0","T,,N","0.0",",,N","0.0",",,N"
"US1VAHR0006","GLEN ALLEN 4.6 W, VA US","37.65537","-77.56873","83.2","2020-05-08","0.0",",,N","0.0",",,N","0.0",",,N"
"US1VAHR0006","GLEN ALLEN 4.6 W, VA US","37.65537","-77.56873","83.2","2020-05-09","1.8",",,N","0.0",",,N","0.0",",,N"
"US1VAHR0006","GLEN ALLEN 4.6 W, VA US","37.65537","-77.56873","83.2","2020-05-10","0.0",",,N","0.0",",,N","0.0",",,N"
"US1VAHR0006","GLEN ALLEN 4.6 W, VA US","37.65537","-77.56873","83.2","2020-05-11","0.0","T,,N","0.0",",,N","0.0",",,N"
"US1VAHR0006","GLEN ALLEN 4.6 W, VA US","37.65537","-77.56873","83.2","2020-05-12","0.0","T,,N","0.0",",,N","0.0",",,N"
"US1VAHR0006","GLEN ALLEN 4.6 W, VA US","37.65537","-77.56873","83.2","2020-05-13","0.0",",,N","0.0",",,N","0.0",",,N"
"US1VAHR0006","GLEN ALLEN 4.6 W, VA US","37.65537","-77.56873","83.2","2020-05-14","0.0","T,,N","0.0",",,N","0.0",",,N"
"US1VAHR0006","GLEN ALLEN 4.6 W, VA US","37.65537","-77.56873","83.2","2020-05-15","0.0","T,,N","0.0",",,N","0.0",",,N"
"US1VAHR0006","GLEN ALLEN 4.6 W, VA US","37.65537","-77.56873","83.2","2020-05-16","0.0",",,N","0.0",",,N","0.0",",,N"
"US1VAHR0006","GLEN ALLEN 4.6 W, VA US","37.65537","-77.56873","83.2","2020-05-17","0.0","T,,N","0.0",",,N","0.0",",,N"
"US1VAHR0006","GLEN ALLEN 4.6 W, VA US","37.65537","-77.56873","83.2","2020-05-18","1.3",",,N","0.0",",,N","0.0",",,N"
"US1VAHR0006","GLEN ALLEN 4.6 W, VA US","37.65537","-77.56873","83.2","2020-05-19","2.5",",,N","0.0",",,N","0.0",",,N"
"US1VAHR0006","GLEN ALLEN 4.6 W, VA US","37.65537","-77.56873","83.2","2020-05-20","1.0",",,N","0.0",",,N","0.0",",,N"
"US1VAHR0006","GLEN ALLEN 4.6 W, VA US","37.65537","-77.56873","83.2","2020-05-21","0.3",",,N","0.0",",,N","0.0",",,N"
"US1VAHR0006","GLEN ALLEN 4.6 W, VA US","37.65537","-77.56873","83.2","2020-05-22","17.8",",,N","0.0",",,N","0.0",",,N"
"US1VAHR0006","GLEN ALLEN 4.6 W, VA US","37.65537","-77.56873","83.2","2020-05-23","0.8",",,N","0.0",",,N","0.0",",,N"
"US1VAHR0006","GLEN ALLEN 4.6 W, VA US","37.65537","-77.56873","83.2","2020-05-24","0.0",",,N","0.0",",,N","0.0",",,N"
"US1VAHR0006","GLEN ALLEN 4.6 W, VA US","37.65537","-77.56873","83.2","2020-05-25","0.0",",,N","0.0",",,N","0.0",",,N"
"US1VAHR0006","GLEN ALLEN 4.6 W, VA US","37.65537","-77.56873","83.2","2020-05-26","0.0",",,N","0.0",",,N","0.0",",,N"
"US1VAHR0006","GLEN ALLEN 4.6 W, VA US","37.65537","-77.56873","83.2","2020-05-27","0.0",",,N","0.0",",,N","0.0",",,N"
"US1VAHR0006","GLEN ALLEN 4.6 W, VA US","37.65537","-77.56873","83.2","2020-05-28","3.8",",,N","0.0",",,N","0.0",",,N"
"US1VAHR0006","GLEN ALLEN 4.6 W, VA US","37.65537","-77.56873","83.2","2020-05-29","10.4",",,N","0.0",",,N","0.0",",,N"
"US1VAHR0006","GLEN ALLEN 4.6 W, VA US","37.65537","-77.56873","83.2","2020-05-30","0.0","T,,N","0.0",",,N","0.0",",,N"
"US1VAHR0006","GLEN ALLEN 4.6 W, VA US","37.65537","-77.56873","83.2","2020-05-31","0.0","T,,N","0.0",",,N","0.0",",,N"
"US1VAHR0006","GLEN ALLEN 4.6 W, VA US","37.65537","-77.56873","83.2","2020-06-01","0.0",",,N","0.0",",,N",,
"US1VAHR0006","GLEN ALLEN 4.6 W, VA US","37.65537","-77.56873","83.2","2020-06-02","0.0",",,N","0.0",",,N",,
"US1VAHR0006","GLEN ALLEN 4.6 W, VA US","37.65537","-77.56873","83.2","2020-06-03","0.0","T,,N","0.0",",,N","0.0",",,N"
"US1VAHR0006","GLEN ALLEN 4.6 W, VA US","37.65537","-77.56873","83.2","2020-06-04","0.0",",,N","0.0",",,N",,
"US1VAHR0006","GLEN ALLEN 4.6 W, VA US","37.65537","-77.56873","83.2","2020-06-05","0.0",",,N","0.0",",,N",,
"US1VAHR0006","GLEN ALLEN 4.6 W, VA US","37.65537","-77.56873","83.2","2020-06-06","2.0",",,N",,,,
"US1VAHR0006","GLEN ALLEN 4.6 W, VA US","37.65537","-77.56873","83.2","2020-06-07","0.0","T,,N",,,,
"US1VAHR0006","GLEN ALLEN 4.6 W, VA US","37.65537","-77.56873","83.2","2020-06-08","0.0",",,N","0.0",",,N",,
"US1VAHR0006","GLEN ALLEN 4.6 W, VA US","37.65537","-77.56873","83.2","2020-06-09","0.0",",,N","0.0",",,N",,
"US1VAHR0006","GLEN ALLEN 4.6 W, VA US","37.65537","-77.56873","83.2","2020-06-10","0.0",",,N","0.0",",,N",,
"US1VAHR0006","GLEN ALLEN 4.6 W, VA US","37.65537","-77.56873","83.2","2020-06-11","0.0","T,,N",,,,
"US1VAHR0006","GLEN ALLEN 4.6 W, VA US","37.65537","-77.56873","83.2","2020-06-12","33.8",",,N",,,,
"US1VAHR0006","GLEN ALLEN 4.6 W, VA US","37.65537","-77.56873","83.2","2020-06-13","0.0",",,N","0.0",",,N",,
"US1VAHR0006","GLEN ALLEN 4.6 W, VA US","37.65537","-77.56873","83.2","2020-06-14","0.0",",,N","0.0",",,N",,
"US1VAHR0006","GLEN ALLEN 4.6 W, VA US","37.65537","-77.56873","83.2","2020-06-15","0.0","T,,N",,,,
"US1VAHR0006","GLEN ALLEN 4.6 W, VA US","37.65537","-77.56873","83.2","2020-06-16","1.8",",,N",,,,
"US1VAHR0006","GLEN ALLEN 4.6 W, VA US","37.65537","-77.56873","83.2","2020-06-17","15.5",",,N",,,,
"US1VAHR0006","GLEN ALLEN 4.6 W, VA US","37.65537","-77.56873","83.2","2020-06-18","12.4",",,N",,,,
"US1VAHR0006","GLEN ALLEN 4.6 W, VA US","37.65537","-77.56873","83.2","2020-06-19","0.0","T,,N",,,,
"US1VAHR0006","GLEN ALLEN 4.6 W, VA US","37.65537","-77.56873","83.2","2020-06-20","39.1",",,N",,,,
"US1VAHR0006","GLEN ALLEN 4.6 W, VA US","37.65537","-77.56873","83.2","2020-06-21","0.0",",,N","0.0",",,N",,
"US1VAHR0006","GLEN ALLEN 4.6 W, VA US","37.65537","-77.56873","83.2","2020-06-22","0.0",",,N","0.0",",,N",,
"US1VAHR0006","GLEN ALLEN 4.6 W, VA US","37.65537","-77.56873","83.2","2020-06-23","3.6",",,N",,,,
"US1VAHR0006","GLEN ALLEN 4.6 W, VA US","37.65537","-77.56873","83.2","2020-06-24","4.6",",,N",,,,
"US1VAHR0006","GLEN ALLEN 4.6 W, VA US","37.65537","-77.56873","83.2","2020-06-25","0.0",",,N","0.0",",,N",,
"US1VAHR0006","GLEN ALLEN 4.6 W, VA US","37.65537","-77.56873","83.2","2020-06-26","8.4",",,N",,,,
"US1VAHR0006","GLEN ALLEN 4.6 W, VA US","37.65537","-77.56873","83.2","2020-06-27","0.0",",,N","0.0",",,N",,
"US1VAHR0006","GLEN ALLEN 4.6 W, VA US","37.65537","-77.56873","83.2","2020-06-28","0.0",",,N","0.0",",,N",,
"US1VAHR0006","GLEN ALLEN 4.6 W, VA US","37.65537","-77.56873","83.2","2020-06-29","0.5",",,N",,,,
"US1VAHR0006","GLEN ALLEN 4.6 W, VA US","37.65537","-77.56873","83.2","2020-06-30","0.0",",,N","0.0",",,N",,
